PassengerId,survived,last,first,middle,m2,m3,m4,m5,m6,,,,,
NA,0,Molson,Harry,Markland,,,,,,,,,,
NA,0,Moore,Clarence,Bloomfield,,,,,,,,,,
NA,0,Natsch,Charles,H,,,,,,,,,,
NA,1,Newell,Madeleine,,,,,,,,,,,
NA,1,Newell,Marjorie,,,,,,,,,,,
NA,0,Newell,Arthur,Webster,,,,,,,,,,
NA,1,Newsom,Helen,Monypeny,,,,,,,,,,
NA,0,Nicholson,Arthur,Ernest,,,,,,,,,,
NA,1,Oliva,"Ocana,",Dona.,Fermina,,,,,,,,,
NA,1,Omont,Alfred,Fernand,,,,,,,,,,
NA,1,Ostby,Helene,Ragnhild,,,,,,,,,,
NA,0,Ostby,Engelhart,Cornelius,,,,,,,,,,
NA,0,Ovies,"Rodriguez,",Mr.,Servando,,,,,,,,,
NA,0,Parr,William,Henry,Marsh,,,,,,,,,
NA,0,Partner,Austen,,,,,,,,,,,
NA,0,Payne,Vivian,Ponsonby,,,,,,,,,,
NA,0,Pears,Thomas,Clinton,,,,,,,,,,
NA,1,Pears,Thomas,(Edith,Wearne),,,,,,,,,
NA,0,Penasco,"Castellana,",Mr.,Victor,de,Satode,,,,,,,
NA,1,Penasco,"Castellana,",Mrs.,Victor,de,Satode,(Maria,(Maria,Perez,de,Soto,y,Vallejo)
NA,1,Perreault,Anne,,,,,,,,,,,
NA,1,Peuchen,Arthur,Godfrey,,,,,,,,,,
NA,0,Porter,Walter,Chamberlain,,,,,,,,,,
NA,1,Potter,Thomas,Jr,(Lily,Alexenia,Wilson),,,,,,,
NA,0,Reuchlin,John,George,,,,,,,,,,
NA,1,Rheims,George,Alexander,Lucien,,,,,,,,,
NA,0,Ringhini,Sante,,,,,,,,,,,
NA,0,Robbins,Victor,,,,,,,,,,,
NA,1,Robert,Edward,Scott,(Elisabeth,Walton,McMillan),,,,,,,
NA,0,Roebling,Washington,Augustus,II,,,,,,,,,
NA,1,Romaine,Charles,Hallace,"(""Mr",C,"Rolmane"")",,,,,,,
NA,0,Rood,Hugh,Roscoe,,,,,,,,,,
NA,1,Rosenbaum,Edith,Louise,,,,,,,,,,
NA,0,Rosenshine,George,"(""Mr",George,"Thorne"")",,,,,,,,
NA,0,Ross,John,Hugo,,,,,,,,,,
NA,1,Rothes,Countess.,of,(Lucy,Noel,Martha,Dyer-Edwards),Dyer-Edwards),,,,,
NA,0,Rothschild,Martin,,,,,,,,,,,
NA,1,Rothschild,Martin,(Elizabeth,L.,Barrett),,,,,,,,
NA,0,Rowe,Alfred,G,,,,,,,,,,
NA,1,Ryerson,John,Borie,,,,,,,,,,
NA,1,Ryerson,Emily,Borie,,,,,,,,,,
NA,1,Ryerson,Susan,Parker,Suzette,,,,,,,,,
NA,0,Ryerson,Arthur,Larned,,,,,,,,,,
NA,1,Ryerson,Arthur,Larned,(Emily,Maria,Borie),,,,,,,
NA,1,Saalfeld,Adolphe,,,,,,,,,,,
NA,1,Sagesser,Emma,,,,,,,,,,,
NA,1,Salomon,Abraham,L,,,,,,,,,,
NA,1,Schabert,Paul,(Emma,Mock),,,,,,,,,
NA,1,Serepeca,Augusta,,,,,,,,,,,
NA,1,Seward,Frederic,Kimber,,,,,,,,,,
NA,1,Shutes,Elizabeth,W,,,,,,,,,,
NA,1,Silverthorne,Spencer,Victor,,,,,,,,,,
NA,0,Silvey,William,Baird,,,,,,,,,,
NA,1,Silvey,William,Baird,(Alice,Munger),,,,,,,,
NA,1,Simonius-Blumer,Oberst,Alfons,,,,,,,,,,
NA,1,Sloper,William,Thompson,,,,,,,,,,
NA,0,Smart,John,Montgomery,,,,,,,,,,
NA,0,Smith,James,Clinch,,,,,,,,,,
NA,0,Smith,Lucien,Philip,,,,,,,,,,
NA,0,Smith,Richard,William,,,,,,,,,,
NA,1,Smith,Lucien,Philip,(Mary,Eloise,Hughes),,,,,,,
NA,1,Snyder,John,Pillsbury,,,,,,,,,,
NA,1,Snyder,John,Pillsbury,(Nelle,Stevenson),,,,,,,,
NA,1,Spedden,Robert,Douglas,,,,,,,,,,
NA,1,Spedden,Frederic,Oakley,,,,,,,,,,
NA,1,Spedden,Frederic,Oakley,(Margaretta,Corning,Stone),,,,,,,
NA,0,Spencer,William,Augustus,,,,,,,,,,
NA,1,Spencer,William,Augustus,(Marie,Eugenie),,,,,,,,
NA,1,Stahelin-Maeglin,Max,,,,,,,,,,,
NA,0,Stead,William,Thomas,,,,,,,,,,
NA,1,Stengel,Charles,Emil,Henry,,,,,,,,,
NA,1,Stengel,Charles,Emil,Henry,(Annie,May,Morris),Morris),,,,,
NA,1,Stephenson,Walter,Bertram,(Martha,Eustis),,,,,,,,
NA,0,Stewart,Albert,A,,,,,,,,,,
NA,1,Stone,George,Nelson,(Martha,Evelyn),,,,,,,,
NA,0,Straus,Isidor,,,,,,,,,,,
NA,0,Straus,Isidor,(Rosalie,Ida,Blun),,,,,,,,
NA,0,Sutton,Frederick,,,,,,,,,,,
NA,1,Swift,Frederick,Joel,(Margaret,Welles,Barron),,,,,,,
NA,1,Taussig,Ruth,,,,,,,,,,,
NA,0,Taussig,Emil,,,,,,,,,,,
NA,1,Taussig,Emil,(Tillie,Mandelbaum),,,,,,,,,
NA,1,Taylor,Elmer,Zebley,,,,,,,,,,
NA,1,Taylor,Elmer,Zebley,(Juliet,Cummins,Wright),,,,,,,
NA,0,Thayer,John,Borland,,,,,,,,,,
NA,1,Thayer,John,Borland,Jr,,,,,,,,,
NA,1,Thayer,John,Borland,(Marian,Longstreth,Morris),,,,,,,
NA,1,Thorne,Gertrude,Maybelle,,,,,,,,,,
NA,1,Tucker,Gilbert,Milligan,Jr,,,,,,,,,
NA,0,Uruchurtu,Manuel,E,,,,,,,,,,
NA,0,Van,"hoef,",Mr.,Wyckoff,,,,,,,,,
NA,0,Walker,William,Anderson,,,,,,,,,,
NA,1,Ward,Anna,,,,,,,,,,,
NA,0,Warren,Frank,Manley,,,,,,,,,,
NA,1,Warren,Frank,Manley,(Anna,Sophia,Atkinson),,,,,,,
NA,0,Weir,John,,,,,,,,,,,
NA,0,White,Percival,Wayland,,,,,,,,,,
NA,0,White,Richard,Frasar,,,,,,,,,,
NA,1,White,John,Stuart,(Ella,Holmes),,,,,,,,
NA,1,Wick,Mary,Natalie,,,,,,,,,,
NA,0,Wick,George,Dennick,,,,,,,,,,
NA,1,Wick,George,Dennick,(Mary,Hitchcock),,,,,,,,
NA,0,Widener,George,Dunton,,,,,,,,,,
NA,0,Widener,Harry,Elkins,,,,,,,,,,
NA,1,Widener,George,Dunton,(Eleanor,Elkins),,,,,,,,
NA,1,Willard,Constance,,,,,,,,,,,
NA,0,Williams,Charles,Duane,,,,,,,,,,
NA,1,Williams,Richard,Norris,II,,,,,,,,,
NA,0,Williams-Lambert,Fletcher,Fellows,,,,,,,,,,
NA,1,Wilson,Helen,Alice,,,,,,,,,,
NA,1,Woolner,Hugh,,,,,,,,,,,
NA,0,Wright,George,,,,,,,,,,,
NA,1,Young,Marie,Grice,,,,,,,,,,
NA,0,Abelson,Samuel,,,,,,,,,,,
NA,1,Abelson,Samuel,(Hannah,Wizosky),,,,,,,,,
NA,0,Aldworth,Charles,Augustus,,,,,,,,,,
NA,0,Andrew,Edgardo,Samuel,,,,,,,,,,
NA,0,Andrew,Frank,Thomas,,,,,,,,,,
NA,0,Angle,William,A,,,,,,,,,,
NA,1,Angle,William,A,(Florence,Mary,Agnes,Hughes),Hughes),,,,,
NA,0,Ashby,John,,,,,,,,,,,
NA,0,Bailey,Percy,Andrew,,,,,,,,,,
NA,0,Baimbrigge,Charles,Robert,,,,,,,,,,
NA,1,Ball,(Ada,E,Hall),,,,,,,,,
NA,0,Banfield,Frederick,James,,,,,,,,,,
NA,0,Bateman,Robert,James,,,,,,,,,,
NA,1,Beane,Edward,,,,,,,,,,,
NA,1,Beane,Edward,(Ethel,Clarke),,,,,,,,,
NA,0,Beauchamp,Henry,James,,,,,,,,,,
NA,1,Becker,Richard,F,,,,,,,,,,
NA,1,Becker,Marion,Louise,,,,,,,,,,
NA,1,Becker,Ruth,Elizabeth,,,,,,,,,,
NA,1,Becker,Allen,Oliver,(Nellie,E,Baumgardner),,,,,,,
NA,1,Beesley,Lawrence,,,,,,,,,,,
NA,1,Bentham,Lilian,W,,,,,,,,,,
NA,0,Berriman,William,John,,,,,,,,,,
NA,0,Botsford,William,Hull,,,,,,,,,,
NA,0,Bowenur,Solomon,,,,,,,,,,,
NA,0,Bracken,James,H,,,,,,,,,,
NA,1,Brown,Amelia,Mildred,,,,,,,,,,
NA,1,Brown,Edith,Eileen,,,,,,,,,,
NA,0,Brown,Thomas,William,Solomon,,,,,,,,,
NA,1,Brown,Thomas,William,Solomon,(Elizabeth,Catherine,Ford),Ford),,,,,
NA,1,Bryhl,Dagmar,Jenny,Ingeborg,,,,,,,,,
NA,0,Bryhl,Kurt,Arnold,Gottfrid,,,,,,,,,
NA,1,Buss,Kate,,,,,,,,,,,
NA,0,Butler,Reginald,Fenton,,,,,,,,,,
NA,0,Byles,Thomas,Roussel,Davids,,,,,,,,,
NA,1,Bystrom,(Karolina),,,,,,,,,,,
NA,1,Caldwell,Alden,Gates,,,,,,,,,,
NA,1,Caldwell,Albert,Francis,,,,,,,,,,
NA,1,Caldwell,Albert,Francis,(Sylvia,Mae,Harbaugh),,,,,,,
NA,1,Cameron,Clear,Annie,,,,,,,,,,
NA,0,Campbell,William,,,,,,,,,,,
NA,0,Carbines,William,,,,,,,,,,,
NA,0,Carter,Ernest,Courtenay,(Lilian,Hughes),,,,,,,,
NA,0,Carter,Ernest,Courtenay,,,,,,,,,,
NA,0,Chapman,Charles,Henry,,,,,,,,,,
NA,0,Chapman,John,Henry,,,,,,,,,,
NA,0,Chapman,John,Henry,(Sara,Elizabeth,Lawry),,,,,,,
NA,1,Christy,Julie,Rachel,,,,,,,,,,
NA,1,Christy,(Alice,Frances),,,,,,,,,,
NA,0,Clarke,Charles,Valentine,,,,,,,,,,
NA,1,Clarke,Charles,V,(Ada,Maria,Winfield),,,,,,,
NA,0,Coleridge,Reginald,Charles,,,,,,,,,,
NA,0,Collander,Erik,Gustaf,,,,,,,,,,
NA,1,Collett,Sidney,C,Stuart,,,,,,,,,
NA,1,Collyer,Marjorie,Lottie,,,,,,,,,,
NA,0,Collyer,Harvey,,,,,,,,,,,
NA,1,Collyer,Harvey,(Charlotte,Annie,Tate),,,,,,,,
NA,1,Cook,(Selena,Rogers),,,,,,,,,,
NA,0,Corbett,Walter,H,(Irene,Colvin),,,,,,,,
NA,0,Corey,Percy,C,(Mary,Phyllis,Elizabeth,Miller),Miller),,,,,
NA,0,Cotterill,Henry,Harry,,,,,,,,,,
NA,0,Cunningham,Alfred,Fleming,,,,,,,,,,
NA,1,Davies,John,Morgan,Jr,,,,,,,,,
NA,0,Davies,Charles,Henry,,,,,,,,,,
NA,1,Davies,John,Morgan,(Elizabeth,Agnes,Mary,White),White),,,,,
NA,1,Davis,Mary,,,,,,,,,,,
NA,0,de,Mr.,Jose,Joaquim,,,,,,,,,
NA,0,Deacon,Percy,William,,,,,,,,,,
NA,0,del,Mr.,Sebastiano,,,,,,,,,,
NA,1,del,Mrs.,Sebastiano,(Argenia,Genovesi),,,,,,,,
NA,0,Denbury,Herbert,,,,,,,,,,,
NA,0,Dibden,William,,,,,,,,,,,
NA,1,Doling,Elsie,,,,,,,,,,,
NA,1,Doling,John,T,(Ada,Julia,Bone),,,,,,,
NA,0,Downton,William,James,,,,,,,,,,
NA,1,Drew,Marshall,Brines,,,,,,,,,,
NA,0,Drew,James,Vivian,,,,,,,,,,
NA,1,Drew,James,Vivian,(Lulu,Thorne,Christian),,,,,,,
NA,1,Duran,"More,",Miss.,Asuncion,,,,,,,,,
NA,1,Duran,"More,",Miss.,Florentina,,,,,,,,,
NA,0,Eitemiller,George,Floyd,,,,,,,,,,
NA,0,Enander,Ingvar,,,,,,,,,,,
NA,0,Fahlstrom,Arne,Jonas,,,,,,,,,,
NA,0,Faunthorpe,Harry,,,,,,,,,,,
NA,1,Faunthorpe,Lizzie,(Elizabeth,Anne,Wilkinson),,,,,,,,
NA,0,Fillbrook,Joseph,Charles,,,,,,,,,,
NA,0,Fox,Stanley,Hubert,,,,,,,,,,
NA,0,Frost,Anthony,Wood,Archie,,,,,,,,,
NA,0,Funk,Annie,Clemmer,,,,,,,,,,
NA,0,Fynney,Joseph,J,,,,,,,,,,
NA,0,Gale,Harry,,,,,,,,,,,
NA,0,Gale,Shadrach,,,,,,,,,,,
NA,1,Garside,Ethel,,,,,,,,,,,
NA,0,Gaskell,Alfred,,,,,,,,,,,
NA,0,Gavey,Lawrence,,,,,,,,,,,
NA,0,Gilbert,William,,,,,,,,,,,
NA,0,Giles,Edgar,,,,,,,,,,,
NA,0,Giles,Frederick,Edward,,,,,,,,,,
NA,0,Giles,Ralph,,,,,,,,,,,
NA,0,Gill,John,William,,,,,,,,,,
NA,0,Gillespie,William,Henry,,,,,,,,,,
NA,0,Givard,Hans,Kristensen,,,,,,,,,,
NA,0,Greenberg,Samuel,,,,,,,,,,,
NA,0,Hale,Reginald,,,,,,,,,,,
NA,1,Hamalainen,Viljo,,,,,,,,,,,
NA,1,Hamalainen,William,(Anna),,,,,,,,,,
NA,0,Harbeck,William,H,,,,,,,,,,
NA,1,Harper,Annie,Jessie,Nina,,,,,,,,,
NA,0,Harper,John,,,,,,,,,,,
NA,1,Harris,George,,,,,,,,,,,
NA,0,Harris,Walter,,,,,,,,,,,
NA,1,Hart,Eva,Miriam,,,,,,,,,,
NA,0,Hart,Benjamin,,,,,,,,,,,
NA,1,Hart,Benjamin,(Esther,Ada,Bloomfield),,,,,,,,
NA,1,Herman,Alice,,,,,,,,,,,
NA,1,Herman,Kate,,,,,,,,,,,
NA,0,Herman,Samuel,,,,,,,,,,,
NA,1,Herman,Samuel,(Jane,Laver),,,,,,,,,
NA,1,Hewlett,(Mary,D,Kingcome),,,,,,,,,
NA,0,Hickman,Leonard,Mark,,,,,,,,,,
NA,0,Hickman,Lewis,,,,,,,,,,,
NA,0,Hickman,Stanley,George,,,,,,,,,,
NA,0,Hiltunen,Marta,,,,,,,,,,,
NA,1,Hocking,Ellen,Nellie,,,,,,,,,,
NA,0,Hocking,Richard,George,,,,,,,,,,
NA,0,Hocking,Samuel,James,Metcalfe,,,,,,,,,
NA,1,Hocking,Elizabeth,(Eliza,Needs),,,,,,,,,
NA,0,Hodges,Henry,Price,,,,,,,,,,
NA,0,Hold,Stephen,,,,,,,,,,,
NA,1,Hold,Stephen,(Annie,Margaret,Hill),,,,,,,,
NA,0,Hood,Ambrose,Jr,,,,,,,,,,
NA,1,Hosono,Masabumi,,,,,,,,,,,
NA,0,Howard,Benjamin,,,,,,,,,,,
NA,0,Howard,Benjamin,(Ellen,Truelove,Arman),,,,,,,,
NA,0,Hunt,George,Henry,,,,,,,,,,
NA,1,Ilett,Bertha,,,,,,,,,,,
NA,0,Jacobsohn,Sidney,Samuel,,,,,,,,,,
